longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,Price,Rooms_Per_Household,Bedrooms_Per_Room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,8.288135593220339,0.12951601908657123,False,False,True,False
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,5.8173515981735155,0.18445839874411302,False,False,True,False
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,6.281853281853282,0.1720958819913952,False,False,True,False
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,4.761658031088083,0.23177366702937977,False,False,True,False
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,4.9319066147859925,0.19289940828402366,False,False,True,False
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,4.797527047913447,0.22132731958762886,False,False,True,False
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,4.294117647058823,0.2602739726027397,False,False,True,False
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,4.970588235294118,0.1992110453648915,False,False,True,False
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,5.477611940298507,0.19709355131698456,False,False,True,False
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,4.772479564032698,0.2146731373108764,False,False,True,False
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,5.322649572649572,0.1902850260939382,False,False,True,False
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,4.0,0.2744252873563218,False,False,True,False
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,4.262903225806451,0.23685206205069997,False,False,True,False
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,4.242424242424242,0.2526785714285714,False,False,True,False
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,5.9395770392749245,0.17650050864699898,False,False,True,False
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,4.052805280528053,0.23859934853420195,False,False,True,False
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,5.343675417661098,0.20321572130415363,False,False,True,False
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,5.465454545454546,0.19827012641383898,False,False,True,False
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,4.524096385542169,0.24500665778961384,False,False,True,False
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,4.478142076502732,0.2239170225747407,False,False,True,False
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,5.096234309623431,0.22208538587848933,False,False,True,False
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,5.193846153846154,0.19964454976303317,False,False,True,False
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,5.270142180094787,0.19649280575539568,False,False,True,False
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,4.495798319327731,0.22990654205607478,False,False,True,False
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,4.7280334728033475,0.215929203539823,False,False,True,False
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,4.7808564231738035,0.22181243414120128,False,False,True,False
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,4.40169133192389,0.23631123919308358,False,False,True,False
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,4.703225806451613,0.2194787379972565,False,False,True,False
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,5.068783068783069,0.23329853862212943,False,False,True,False
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,4.882086167800454,0.22340919647004182,False,False,True,False
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,5.737313432835821,0.21279916753381894,False,False,True,False
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,5.0303951367781155,0.22114803625377644,False,False,True,False
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,4.972014925373134,0.2153846153846154,False,False,True,False
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,4.6022727272727275,0.23209876543209876,False,False,True,False
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,4.807486631016043,0.24026696329254726,False,False,True,False
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,3.7493796526054592,0.25810721376571805,False,False,True,False
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,4.757281553398058,0.22448979591836735,False,False,True,False
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,3.4942528735632186,0.29399671052631576,False,False,True,False
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,4.215189873417722,0.25165165165165165,False,False,True,False
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,3.7590361445783134,0.33226495726495725,False,False,True,False
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,3.7724867724867726,0.28330995792426367,False,False,True,False
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,4.797979797979798,0.21263157894736842,False,False,True,False
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,4.941780821917808,0.21552321552321552,False,False,True,False
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,4.335078534031414,0.2536231884057971,False,False,True,False
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,3.700657894736842,0.2862222222222222,False,False,True,False
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,3.9802371541501977,0.3098311817279047,False,False,True,False
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,3.9,0.3125,False,False,True,False
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,2.6875,0.3964059196617336,False,False,True,False
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,2.045662100456621,0.5055803571428571,False,False,True,False
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,4.58968058968059,0.24411134903640258,False,False,True,False
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,4.473611111111111,0.26482458863706926,False,False,True,False
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,4.075,0.27975460122699386,False,False,True,False
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,5.021459227467811,0.20085470085470086,False,False,True,False
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,4.295454545454546,0.2571428571428571,False,False,True,False
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,4.77992277992278,0.23263327948303716,False,False,True,False
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,6.102459016393443,0.22498321020819342,False,False,True,False
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,4.5625,0.24585436193222782,False,False,True,False
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,2.7719298245614037,0.2721518987341772,False,False,True,False
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,5.994652406417113,0.18822479928635147,False,False,True,False
-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,5.869565217391305,0.21481481481481482,False,False,True,False
-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,6.229508196721311,0.25,False,False,True,False
-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,7.69811320754717,0.19362745098039216,False,False,True,False
-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,6.225563909774436,0.21980676328502416,False,False,True,False
-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,5.401069518716578,0.20693069306930692,False,False,True,False
-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,4.382530120481928,0.24329896907216494,False,False,True,False
-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,6.98639455782313,0.23758519961051608,False,False,True,False
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,6.975609756097561,0.19055944055944055,False,False,True,False
-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,4.584288052373159,0.22991788646911818,False,False,True,False
-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,6.047244094488189,0.19791666666666666,False,False,True,False
-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,3.375451263537906,0.3176470588235294,False,False,True,False
-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,5.552631578947368,0.24170616113744076,False,False,True,False
-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,1.7142857142857142,0.3333333333333333,False,False,True,False
-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,6.2781954887218046,0.19281437125748502,False,False,True,False
-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,2.8177676537585423,0.3734842360549717,False,False,True,False
-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,5.724950884086444,0.1928620452985587,False,False,True,False
-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,5.830917874396135,0.20132560066280034,False,False,True,False
-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,5.369230769230769,0.21432664756446992,False,False,True,False
